genome.isolation_source,lower_cased_isolation_source,group
"human blood at the National Naval Medical Center,  Bethesda, MD, USA","human blood at the national naval medical center,  bethesda, md, usa",blood
BLOOD,blood,blood
Blood,blood,blood
blood,blood,blood
Neonatal Blood,neonatal blood,blood
"Blood, Peripheral","blood, peripheral",blood
"Blood, Central line","blood, central line",blood
*Blood-Isolator Tube,*blood-isolator tube,blood
blood culture,blood culture,blood
Blood culture,blood culture,blood
BLOOD CULTURE,blood culture,blood
Blood_whole,blood_whole,blood
Bodily fluid; blood,bodily fluid; blood,blood
Bodily fluid; Blood,bodily fluid; blood,blood
Abdominal fluid,abdominal fluid,bodily fluid
FLUID,fluid,bodily fluid
Fluid,fluid,bodily fluid
STERILE BODY FLUID,sterile body fluid,bodily fluid
sterile body fluid,sterile body fluid,bodily fluid
Cerebrospinal Fluid,cerebrospinal fluid,bodily fluid
cerebrospinal fluid,cerebrospinal fluid,bodily fluid
Cerebrospinal fluid,cerebrospinal fluid,bodily fluid
Sterile Body Site,sterile body site,bodily fluid
STERILE BODY SITE,sterile body site,bodily fluid
CSF,csf,bodily fluid
Sterile Fluid,sterile fluid,bodily fluid
body fluid,body fluid,bodily fluid
Peritoneal,peritoneal,bodily fluid
Cerebrospinal fluid hospital sample,cerebrospinal fluid hospital sample,bodily fluid
Puncture Fluids,puncture fluids,bodily fluid
Other (drainage),other (drainage),bodily fluid
Other (percutaneous abscess drainage),other (percutaneous abscess drainage),bodily fluid
Pleural fluid,pleural fluid,bodily fluid
fliud aspirate,fliud aspirate,bodily fluid
Bodily fluid; sputum,bodily fluid; sputum,bodily fluid
Ascites,ascites,bodily fluid
Fluid_Synovial,fluid_synovial,bodily fluid
Peritoneal fluid,peritoneal fluid,bodily fluid
PERITONEAL FLUID,peritoneal fluid,bodily fluid
Peritoneal Fluid,peritoneal fluid,bodily fluid
Culture Sterile Body Site,culture sterile body site,bodily fluid
Excreted bodily substance; catheter,excreted bodily substance; catheter,bodily fluid
Fluid_Ascitic,fluid_ascitic,bodily fluid
Bodily fluid; pancreatic fluid,bodily fluid; pancreatic fluid,bodily fluid
Other (liquid abdomen),other (liquid abdomen),bodily fluid
Plueral fluid,plueral fluid,bodily fluid
other (fluid),other (fluid),bodily fluid
Other (fluid),other (fluid),bodily fluid
cerebral spinal fluid,cerebral spinal fluid,bodily fluid
Pleural Cavity,pleural cavity,bodily fluid
Bodily fluid,bodily fluid,bodily fluid
Bodily fluid; Joint (arthritis),bodily fluid; joint (arthritis),bodily fluid
Bodily fluid; Perineum,bodily fluid; perineum,bodily fluid
Excreted bodily substance; Milk (masitis),excreted bodily substance; milk (masitis),bodily fluid
Bodily fluid; Fascia,bodily fluid; fascia,bodily fluid
Bodily fluid; Ear,bodily fluid; ear,bodily fluid
Bodily fluid; Abscess,bodily fluid; abscess,bodily fluid
breast milk,breast milk,bodily fluid
Bodily fluid; Skin,bodily fluid; skin,bodily fluid
Bodily fluid; nasal,bodily fluid; nasal,bodily fluid
