,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
0,GCF_000597965.1,Staphylococcus aureus,homo sapiens,newborn nursery,,bacterial interference strain,,2781,Best-placed reference protein set; GeneMarkS-2+,HGAP2 v. V2.1,SAMN02690781,502A,,,Complete Genome,1,2764699,,33.0,,2,2,98.57,0.39,v1.2.3,PRJNA240093,,homo sapiens | newborn nursery | bacterial interference strain,human,newborn nursery bacterial interference strain,GCF_000597965.1,,USA,,newborn nursery,,Human,,Human,Colonization,"Human, Homo sapiens",Homo sapiens
1,GCF_000695215.1,Staphylococcus aureus,homo sapiens,abscess/wound,,,,2835,Best-placed reference protein set; GeneMarkS-2+,Velvet v. 1.2.10,SAMN02767598,H-EMRSA-15,,,Complete Genome,1,2846320,,33.0,,1,1,98.84,0.39,v1.2.3,PRJNA246435,,homo sapiens | abscess/wound,human,abscess/wound,GCF_000695215.1,,Belgium,,abscess/wound,,Human,,Human,Infection,"Human, Homo sapiens",Homo sapiens
2,GCF_000695875.1,Staphylococcus aureus,homo sapiens,biological,,prolific biofilm formers,,2888,Best-placed reference protein set; GeneMarkS-2+,Velvet v. 1.2.10,SAMN02777327,UA-S391_USA300,,,Complete Genome,1,2872916,,33.0,,1,1,97.95,0.39,v1.2.3,PRJNA246435,,homo sapiens | biological | prolific biofilm formers,human,biological prolific biofilm formers,GCF_000695875.1,,Belgium,,biological,,Human,,Human,wound,"Human, Homo sapiens",Homo sapiens
3,GCF_000736455.1,Staphylococcus aureus,,"strain hg003 was generated by silvia herbert in 2010 in the microbial genetics department of university of tubingen, germany; herbert received the parental strain nctc8325 from richard novick (nyu langone medical center); parental strain nctc8325 was isolated in 1960 from a sepsis patient at colindale, central public health laboratory, london, uk",,,,2851,Best-placed reference protein set; GeneMarkS-2+,SPAdes v. 3.1.0,SAMN02911820,HG003,,,Scaffold,3,392186,,32.5,95.0,20,19,98.81,0.39,v1.2.3,PRJNA255272,,"strain hg003 was generated by silvia herbert in 2010 in the microbial genetics department of university of tubingen, germany; herbert received the parental strain nctc8325 from richard novick (nyu langone medical center); parental strain nctc8325 was isolated in 1960 from a sepsis patient at colindale, central public health laboratory, london, uk",lab,,GCF_000736455.1,"isolated in 1960 from a sepsis patient and its genome completed in 2001, strain HG003 was generated with molecular tools in 2010",,,"strain HG003 was generated by Silvia Herbert in 2010 in the Microbial Genetics department of University of Tubingen, Germany; Herbert received the parental strain NCTC8325 from Richard Novick (NYU Langone Medical Center); parental strain NCTC8325 was isolated in 1960 from a sepsis patient at Colindale, Central Public Health Laboratory, London, UK",,Human,,Human,,"Human, Homo sapiens",Homo sapiens
4,GCF_000756205.1,Staphylococcus aureus,homo sapiens,clinical,,,,2775,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 8.1,SAMN03009478,ATCC 25923,,,Complete Genome,1,2778854,,33.0,408.0,2,2,98.41,0.62,v1.2.3,PRJNA259557,,homo sapiens | clinical,human,clinical,GCF_000756205.1,,USA,,Clinical,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
5,GCF_000932245.1,Staphylococcus aureus,homo sapiens,surgical wound,,,,2918,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. NOV-2014,SAMN03253089,P180,,,Scaffold,5,202021,,33.0,185.0,47,45,98.54,0.39,v1.2.3,PRJNA269214,,homo sapiens | surgical wound,human,surgical wound,GCF_000932245.1,,Malaysia,,Surgical wound,,Human,,Human,Infected surgical wound,"Human, Homo sapiens",Homo sapiens
6,GCF_000953985.1,Staphylococcus aureus,homo sapiens,orthopedic infection,,,,2784,Best-placed reference protein set; GeneMarkS-2+,CLC Genomics Workbench v. 7.5.2,SAMN03365925,LHSKBClinical,,,Scaffold,3,476947,,32.5,500.0,27,24,98.43,0.39,v1.2.4,PRJNA276072,,homo sapiens | orthopedic infection,human,orthopedic infection,GCF_000953985.1,,United Kingdom,,Pus,,Human,Female,Human,Orthopedic infection,"Human, Homo sapiens",Homo sapiens
7,GCF_000969225.1,Staphylococcus aureus,homo sapiens,biopsy of vertebra,,,,2847,Best-placed reference protein set; GeneMarkS-2+,A5-MiSeq v. 20141120; Geneious; Projector2,SAMN03444404,,,,Complete Genome,1,2849811,,33.0,137.0,1,1,98.67,0.3,v1.2.3,PRJNA279236,,homo sapiens | biopsy of vertebra,human,biopsy of vertebra,GCF_000969225.1,isolated in Brazil and compare them to the sequences of vancomycin sensitive Staphylocoocus aureus,Brazil,,biopsy of vertebra,,Human,Male,Human,osteomyelitis,"Human, Homo sapiens",Homo sapiens
8,GCF_001021875.1,Staphylococcus aureus,homo sapiens,nasal swab,,staphylococcus aureus m121,,2960,Best-placed reference protein set; GeneMarkS-2+,HGAP v. v2,SAMN02746692,M121,,,Complete Genome,1,2896143,,33.0,548.54,2,2,98.29,0.39,v1.2.3,PRJNA246311,,homo sapiens | nasal swab | staphylococcus aureus m121,human,nasal swab staphylococcus aureus m121,GCF_001021875.1,,Colombia,,nasal swab,,Human,,Human,healthy volunteer,"Human, Homo sapiens",Homo sapiens
9,GCF_001021895.1,Staphylococcus aureus,homo sapiens,blood,,staphylococcus aureus st8 sccmeciv,,2880,Best-placed reference protein set; GeneMarkS-2+,HGAP v. v2,SAMN02767179,CA15,,,Complete Genome,1,2839253,,33.0,293.54,2,2,98.25,0.45,v1.2.3,PRJNA246386,,homo sapiens | blood | staphylococcus aureus st8 sccmeciv,human,blood staphylococcus aureus st8 sccmeciv,GCF_001021895.1,,Colombia,,blood,,Human,,Human,bacteremia,"Human, Homo sapiens",Homo sapiens
