Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCF_000418345.1	Staphylococcus aureus	Homo sapiens					3016	Best-placed reference protein set; GeneMarkS-2+	Newbler v. 2.5.3; Celera software v.7	SAMN02603524	Bmb9393			Complete Genome	1	2980548		33	25	2	2	98.37	0.47	v1.2.3	PRJNA196937	
GCF_000597965.1	Staphylococcus aureus	Homo sapiens	newborn nursery		Bacterial Interference Strain		2781	Best-placed reference protein set; GeneMarkS-2+	HGAP2 v. V2.1	SAMN02690781	502A			Complete Genome	1	2764699		33		2	2	98.57	0.39	v1.2.3	PRJNA240093	
GCF_000626615.2	Staphylococcus aureus	Homo sapiens	human		COL, NRS100,mecA		2793	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 2.0	SAMN02700075	FDAARGOS_5			Complete Genome	1	2810186		33	1001.18	1	1	98.18	0.39	v1.2.3	PRJNA231221	
GCF_000695215.1	Staphylococcus aureus	Homo sapiens	abscess/wound				2835	Best-placed reference protein set; GeneMarkS-2+	Velvet v. 1.2.10	SAMN02767598	H-EMRSA-15			Complete Genome	1	2846320		33		1	1	98.84	0.39	v1.2.3	PRJNA246435	
GCF_000695875.1	Staphylococcus aureus	Homo sapiens	biological		prolific biofilm formers 		2888	Best-placed reference protein set; GeneMarkS-2+	Velvet v. 1.2.10	SAMN02777327	UA-S391_USA300			Complete Genome	1	2872916		33		1	1	97.95	0.39	v1.2.3	PRJNA246435	
GCF_000709475.1	Staphylococcus aureus	Homo sapiens	a 34-year-old patient with 90% trunk steam burned				3223	Best-placed reference protein set; GeneMarkS-2+	Newbler v. 2.8	SAMN02693431	XN108			Complete Genome	1	3052055		33		1	1	93.66	0.19	v1.2.4	PRJNA239544	
GCF_000723625.1	Staphylococcus aureus						2928	Best-placed reference protein set; GeneMarkS-2+		SAMEA3139039	MM25			Scaffold	9	138361		32.5	310	58	57	98.67	0.39	v1.2.3	PRJEB5715	
GCF_000723705.1	Staphylococcus aureus						3118	Best-placed reference protein set; GeneMarkS-2+		SAMEA3139043	MM66			Scaffold	10	81057		33	174	94	90	98.76	2.91	v1.2.3	PRJEB5717	
GCF_000723825.1	Staphylococcus aureus						3026	Best-placed reference protein set; GeneMarkS-2+		SAMEA3139049	MM66-4			Scaffold	7	154422		33	306	76	73	98.76	0.39	v1.2.3	PRJEB5718	
GCF_000723965.1	Staphylococcus aureus						3034	Best-placed reference protein set; GeneMarkS-2+		SAMEA3139056	MV8			Scaffold	8	148623		33	343	98	81	97.83	1.14	v1.2.0	PRJEB5719	
GCF_000731175.1	Staphylococcus aureus						3025	Best-placed reference protein set; GeneMarkS-2+		SAMEA3139066	MM61			Scaffold	8	99310		33	307	79	78	98.72	0.58	v1.2.3	PRJEB5716	
